1,Acrelândia,12
2,Alta Floresta D'Oeste,11
3,Ariquemes,11
4,Amajari,14
5,Alvarães,13
6,Cabixi,11
7,Aceguá,43
8,Cacoal,11
9,Alto Alegre,14
10,Abadia de Goiás,52
11,Abdon Batista,42
12,Acauã,22
13,Assis Brasil,12
14,Abreu e Lima,26
15,Serra do Navio,16
16,Açailândia,21
17,Cerejeiras,11
18,Água Santa,43
19,Amaturá,13
20,Colorado do Oeste,11
21,Corumbiara,11
22,Costa Marques,11
23,Anamã,13
24,Espigão D'Oeste,11
25,Boa Vista,14
26,Amparo do São Francisco,28
27,Angra dos Reis,33
28,Abadiânia,52
29,Abaiara,23
30,Abelardo Luz,42
31,Anori,13
32,Água Branca,27
33,Afonso Cláudio,32
34,Acorizal,51
35,Agricolândia,22
36,Abatiá,41
37,Brasiléia,12
38,Afogados da Ingazeira,26
39,Abadia dos Dourados,31
40,Amapá,16
41,Afonso Cunha,21
42,Adamantina,35
43,Guajará-Mirim,11
44,Água Branca,25
45,Abaetetuba,15
46,Abaíra,29
47,Brasília,53
48,Acari,24
49,Agudo,43
50,Jaru,11
51,Ji-Paraná,11
52,Machadinho D'Oeste,11
53,Abel Figueiredo,15
54,Acreúna,52
55,Águia Branca,32
56,Bujari,12
57,Apuí,13
58,Nova Brasilândia D'Oeste,11
59,Acarape,23
60,Pedra Branca do Amapari,16
61,Água Doce do Maranhão,21
62,Ouro Preto do Oeste,11
63,Bonfim,14
64,Aperibé,33
65,Adelândia,52
66,Água Doce do Norte,32
67,Cantá,14
68,Água Fria de Goiás,52
69,Capixaba,12
70,Pimenta Bueno,11
71,Acaraú,23
72,Agrolândia,42
73,Atalaia do Norte,13
74,Anadia,27
75,Alegre,32
76,Água Boa,51
77,Água Branca,22
78,Adrianópolis,41
79,Cruzeiro do Sul,12
80,Afrânio,26
81,Abaeté,31
82,Água Clara,50
83,Calçoene,16
84,Alcântara,21
85,Adolfo,35
86,Porto Velho,11
87,Aguiar,25
88,Acará,15
89,Abaré,29
90,Açu,24
91,Ajuricaba,43
92,Caracaraí,14
93,Aquidabã,28
94,Araruama,33
95,Água Limpa,52
96,Cutias,16
97,Areal,33
98,Caroebe,14
99,Armação dos Búzios,33
100,Ferreira Gomes,16
101,Alta Floresta,51
102,Abreulândia,17
103,Alagoinha do Piauí,22
104,Epitaciolândia,12
105,Alcinópolis,50
106,Itaubal,16
107,Presidente Médici,11
108,Arraial do Cabo,33
109,Águas Lindas de Goiás,52
110,Rio Crespo,11
111,Alegrete do Piauí,22
112,Laranjal do Jari,16
113,Iracema,14
114,Rolim de Moura,11
115,Santa Luzia D'Oeste,11
116,Autazes,13
117,Arapiraca,27
118,Alfredo Chaves,32
119,Alto Araguaia,51
120,Aguiarnópolis,17
121,Alto Longá,22
122,Agudos do Sul,41
123,Feijó,12
124,Agrestina,26
125,Abre Campo,31
126,Macapá,16
127,Aldeias Altas,21
128,Aguaí,35
129,Vilhena,11
130,Alagoa Grande,25
131,Afuá,15
132,Acajutiba,29
133,Afonso Bezerra,24
134,Alecrim,43
135,Mucajaí,14
136,Aracaju,28
137,Barra do Piraí,33
138,Alexânia,52
139,Acopiara,23
140,Agronômica,42
141,São Miguel do Guaporé,11
142,Jordão,12
143,Mâncio Lima,12
144,Nova Mamoré,11
145,Manoel Urbano,12
146,Alvorada D'Oeste,11
147,Água Azul do Norte,15
148,Aliança do Tocantins,17
149,Marechal Thaumaturgo,12
150,Adustina,29
151,Alto Rio Novo,32
152,Alto Boa Vista,51
153,Alto Alegre dos Parecis,11
154,Plácido de Castro,12
155,Porto Walter,12
156,Almas,17
157,Altos,22
158,Almirante Tamandaré,41
159,Rio Branco,12
160,Água Preta,26
161,Acaiaca,31
162,Mazagão,16
163,Altamira do Maranhão,21
164,Águas da Prata,35
165,Alto Paraíso,11
166,Alagoa Nova,25
167,Alenquer,15
168,Água Fria,29
169,Água Nova,24
170,Alegrete,43
171,Normandia,14
172,Arauá,28
173,Barra Mansa,33
174,Aiuaba,23
175,Água Doce,42
176,Barcelos,13
177,Atalaia,27
178,Anchieta,32
179,Alto Garças,51
180,Rodrigues Alves,12
181,Santa Rosa do Purus,12
182,Alto Alegre do Maranhão,21
183,Senador Guiomard,12
184,Buritis,11
185,Alegria,43
186,Pacaraima,14
187,Belford Roxo,33
188,Alvorada do Gurguéia,22
189,Altamira do Paraná,41
190,Almirante Tamandaré do Sul,43
191,Rorainópolis,14
192,Alto Alegre do Pindaré,21
193,Sena Madureira,12
194,Águas Belas,26
195,Açucena,31
196,Oiapoque,16
197,Alto Parnaíba,21
198,Águas de Lindóia,35
199,Novo Horizonte do Oeste,11
200,Alagoinha,25
201,Almeirim,15
202,Érico Cardoso,29
203,Alexandria,24
204,Alpestre,43
205,São João da Baliza,14
206,Areia Branca,28
207,Bom Jardim,33
208,Aloândia,52
209,Alcântaras,23
210,Águas de Chapecó,42
211,Barreirinha,13
212,Barra de Santo Antônio,27
213,Apiacá,32
214,Alto Paraguai,51
215,Amarante,22
216,Altônia,41
217,Porto Grande,16
218,Alcantil,25
219,Pracuúba,16
220,Amapá do Maranhão,21
221,Águas de Santa Bárbara,35
222,Alto Alegre,43
223,Alto Horizonte,52
224,Águas Frias,42
225,Alto Feliz,43
226,Algodão de Jandaíra,25
227,Santana,16
228,Amarante do Maranhão,21
229,Águas de São Pedro,35
230,Cacaulândia,11
231,Alhandra,25
232,Altamira,15
233,Aiquara,29
234,Almino Afonso,24
235,Alvorada,43
236,São Luiz,14
237,Barra dos Coqueiros,28
238,Bom Jesus do Itabapoana,33
239,Alto Paraíso de Goiás,52
240,Altaneira,23
241,Águas Mornas,42
242,Benjamin Constant,13
243,Barra de São Miguel,27
244,Aracruz,32
245,Alto Taquari,51
246,Angical do Piauí,22
247,Alto Paraná,41
248,Tarauacá,12
249,Alagoinha,26
250,Água Boa,31
251,Amambai,50
252,Beruri,13
253,Amaral Ferrador,43
254,Ametista do Sul,43
255,André da Rocha,43
256,Boquim,28
257,Boa Vista do Ramos,13
258,Campo Novo de Rondônia,11
259,São João do Rio do Peixe,25
260,Anajás,15
261,Alagoinhas,29
262,Alto do Rodrigues,24
263,Anta Gorda,43
264,Uiramutã,14
265,Brejo Grande,28
266,Cabo Frio,33
267,Alto Santo,23
268,Alfredo Wagner,42
269,Boca do Acre,13
270,Batalha,27
271,Atílio Vivácqua,32
272,Alvorada,17
273,Anísio de Abreu,22
274,Alto Piquiri,41
275,Xapuri,12
276,Aliança,26
277,Água Comprida,31
278,Anastácio,50
279,Tartarugalzinho,16
280,Anajatuba,21
281,Agudos,35
282,Amparo,25
283,Amontada,23
